state,lat,lon
AZ,32.8167,-114.5095
AZ,32.845,-114.4696
AZ,32.9107,-114.4817
AZ,32.9741,-114.4803
AZ,33.0317,-114.5256
AZ,33.0259,-114.6094
AZ,33.0317,-114.6588
AZ,33.0904,-114.7096
AZ,33.2065,-114.6849
AZ,33.2846,-114.722
AZ,33.3546,-114.6973
AZ,33.4051,-114.7258
AZ,33.412,-114.6533
AZ,33.5016,-114.5888
AZ,33.5317,-114.5599
AZ,33.6306,-114.5187
AZ,33.6786,-114.5297
AZ,33.7083,-114.494
AZ,33.7609,-114.5036
AZ,33.8157,-114.5284
AZ,33.8545,-114.5325
AZ,33.9285,-114.538
AZ,33.953,-114.5235
AZ,34.0049,-114.4748
AZ,34.0299,-114.4308
AZ,34.0891,-114.4363
AZ,34.1357,-114.3526
AZ,34.172,-114.2908
AZ,34.2044,-114.2255
AZ,34.2595,-114.1685
AZ,34.2572,-114.1301
AZ,34.3037,-114.1397
AZ,34.3664,-114.2276
AZ,34.4012,-114.2633
AZ,34.4534,-114.3388
AZ,34.493,-114.3608
AZ,34.5292,-114.3811
AZ,34.5959,-114.4377
AZ,34.6547,-114.4569
AZ,34.7506,-114.5297
AZ,34.8172,-114.5847
AZ,34.8724,-114.6341
AZ,34.949,-114.6313
AZ,35.0342,-114.6351
AZ,35.1019,-114.6451
AZ,35.1233,-114.619
AZ,35.1716,-114.5682
AZ,35.3364,-114.5984
AZ,35.4506,-114.6643
AZ,35.578,-114.6753
AZ,35.6171,-114.6547
AZ,35.6528,-114.6918
AZ,35.7053,-114.7028
AZ,35.805,-114.7093
AZ,35.8679,-114.6602
AZ,35.9836,-114.7426
AZ,36.0891,-114.7536
AZ,36.1124,-114.6794
AZ,36.1423,-114.6327
AZ,36.1301,-114.4872
AZ,36.1445,-114.369
AZ,36.0746,-114.3038
AZ,36.0602,-114.3172
AZ,36.0163,-114.2451
AZ,36.0402,-114.1438
AZ,36.0979,-114.115
AZ,36.1101,-114.1274
AZ,36.119,-114.1054
AZ,36.1989,-114.0463
AZ,36.3638,-114.045
AZ,37.0001,-114.0508
CA,41.9983,-124.4009
CA,42.0024,-123.6237
CA,42.0126,-123.1526
CA,42.0075,-122.0073
CA,41.9962,-121.2369
CA,41.9983,-119.9982
CA,39.0021,-120.0037
CA,37.5555,-117.9575
CA,36.3594,-116.3699
CA,35.0075,-114.6368
CA,34.9659,-114.6382
CA,34.9107,-114.6286
CA,34.8758,-114.6382
CA,34.8454,-114.597
CA,34.789,-114.5682
CA,34.7269,-114.4968
CA,34.6648,-114.4501
CA,34.6581,-114.4597
CA,34.5869,-114.4322
CA,34.5235,-114.3787
CA,34.4601,-114.3869
CA,34.45,-114.3361
CA,34.4375,-114.3031
CA,34.4024,-114.2674
CA,34.3559,-114.1864
CA,34.3049,-114.1383
CA,34.2561,-114.1315
CA,34.2595,-114.1651
CA,34.2044,-114.2249
CA,34.1914,-114.2221
CA,34.172,-114.2908
CA,34.1368,-114.3237
CA,34.1186,-114.3622
CA,34.1118,-114.4089
CA,34.0856,-114.4363
CA,34.0276,-114.4336
CA,34.0117,-114.4652
CA,33.9582,-114.5119
CA,33.9308,-114.5366
CA,33.9058,-114.5091
CA,33.8613,-114.5256
CA,33.8248,-114.5215
CA,33.7597,-114.505
CA,33.7083,-114.494
CA,33.6832,-114.5284
CA,33.6363,-114.5242
CA,33.5895,-114.5393
CA,33.5528,-114.5242
CA,33.5311,-114.5586
CA,33.507,-114.5778
CA,33.4418,-114.6245
CA,33.4142,-114.6506
CA,33.4039,-114.7055
CA,33.3546,-114.6973
CA,33.3041,-114.7302
CA,33.2858,-114.7206
CA,33.2754,-114.6808
CA,33.2582,-114.6698
CA,33.2467,-114.6904
CA,33.172,-114.6794
CA,33.0904,-114.7083
CA,33.0858,-114.6918
CA,33.0328,-114.6629
CA,33.0501,-114.6451
CA,33.0305,-114.6286
CA,33.0282,-114.5888
CA,33.0351,-114.575
CA,33.0328,-114.5174
CA,32.9718,-114.4913
CA,32.9764,-114.4775
CA,32.9372,-114.4844
CA,32.8427,-114.4679
CA,32.8161,-114.5091
CA,32.785,-114.5311
CA,32.7573,-114.5284
CA,32.7503,-114.5641
CA,32.7353,-114.6162
CA,32.748,-114.6986
CA,32.7191,-114.722
CA,32.6868,-115.1944
CA,32.5121,-117.3395
CA,32.7838,-117.4823
CA,33.0501,-117.5977
CA,33.2341,-117.6814
CA,33.4578,-118.0591
CA,33.5403,-118.629
CA,33.7928,-118.7073
CA,33.9582,-119.3706
CA,34.1925,-120.005
CA,34.2561,-120.7164
CA,34.536,-120.9128
CA,34.9749,-120.8427
CA,35.2131,-121.1325
CA,35.5255,-121.322
CA,35.9691,-121.8013
CA,36.2808,-122.1446
CA,36.7268,-122.1721
CA,37.2227,-122.6871
CA,37.7783,-122.8903
CA,37.8965,-123.2378
CA,38.3449,-123.3202
CA,38.7423,-123.8338
CA,38.9946,-123.9793
CA,39.3088,-124.0329
CA,39.7642,-124.0823
CA,40.1663,-124.5314
CA,40.4658,-124.6509
CA,41.011,-124.3144
CA,41.2386,-124.3419
CA,41.717,-124.4545
CA,41.9983,-124.4009
CO,37.0004,-109.0448
CO,36.9949,-102.0424
CO,41.0006,-102.0534
CO,40.9996,-109.0489
CO,37.0004,-109.0448
CT,42.0498,-73.4875
CT,42.0511,-73.4247
CT,42.0371,-72.8146
CT,41.9983,-72.8174
CT,42.0044,-72.7638
CT,42.036,-72.7563
CT,42.0368,-72.6945
CT,42.0309,-72.6086
CT,42.0269,-72.6059
CT,42.0269,-72.5784
CT,42.035,-72.5729
CT,42.035,-72.4026
CT,42.0248,-71.7984
CT,41.6832,-71.7874
CT,41.4165,-71.7984
CT,41.3892,-71.8341
CT,41.3273,-71.8526
CT,41.3309,-71.8938
CT,41.3103,-71.9302
CT,41.2907,-72.0195
CT,41.2618,-72.0827
CT,41.1962,-72.4322
CT,41.0866,-73.0007
CT,41.0255,-73.2493
CT,40.9509,-73.6132
CT,40.983,-73.6606
CT,41.0338,-73.6723
CT,41.1011,-73.7272
CT,41.2153,-73.4834
CT,41.2953,-73.5507
CT,41.4906,-73.5329
CT,42.0493,-73.4875
DE,39.7188,-75.7919
DE,39.521,-75.7837
DE,38.9081,-75.7288
DE,38.5911,-75.7068
DE,38.46,-75.6944
DE,38.4482,-74.8608
DE,38.8654,-74.8526
DE,38.8451,-75.0504
DE,39.0565,-75.1678
DE,39.2525,-75.3236
DE,39.3662,-75.461
DE,39.4542,-75.5592
DE,39.4908,-75.5578
DE,39.5713,-75.5118
DE,39.6284,-75.5557
DE,39.8106,-75.3937
DE,39.8249,-75.4692
DE,39.8296,-75.6477
DE,39.7199,-75.7906
FL,30.9988,-87.605
FL,30.9964,-86.5613
FL,31.0035,-85.5313
FL,31.0012,-85.1193
FL,31.0023,-85.0012
FL,30.9364,-84.9847
FL,30.8845,-84.9367
FL,30.8409,-84.9271
FL,30.7902,-84.9257
FL,30.7489,-84.9147
FL,30.6993,-84.8611
FL,30.6911,-84.4272
FL,30.6509,-83.5991
FL,30.5895,-82.5595
FL,30.5682,-82.2134
FL,30.5315,-82.2134
FL,30.3883,-82.1997
FL,30.3598,-82.1544
FL,30.3598,-82.0638
FL,30.4877,-82.0226
FL,30.6308,-82.0473
FL,30.6757,-82.0514
FL,30.7111,-82.0377
FL,30.7371,-82.0514
FL,30.7678,-82.0102
FL,30.7914,-82.0322
FL,30.7997,-81.9717
FL,30.8244,-81.9608
FL,30.8056,-81.8893
FL,30.7914,-81.8372
FL,30.7796,-81.796
FL,30.7536,-81.6696
FL,30.7289,-81.6051
FL,30.7324,-81.5666
FL,30.7229,-81.5295
FL,30.7253,-81.4856
FL,30.7111,-81.4609
FL,30.7088,-81.4169
FL,30.7064,-81.2274
FL,30.4345,-81.2357
FL,30.316,-81.1725
FL,29.7763,-81.0379
FL,28.8603,-80.5861
FL,28.4771,-80.365
FL,28.1882,-80.3815
FL,27.1789,-79.9255
FL,26.8425,-79.8198
FL,26.1394,-79.9118
FL,25.5115,-79.9997
FL,24.8802,-80.3815
FL,24.5384,-80.8704
FL,24.3959,-81.925
FL,24.4496,-82.2066
FL,24.5484,-82.3137
FL,24.6982,-82.1997
FL,25.2112,-81.3977
FL,25.6019,-81.4622
FL,25.9235,-81.9456
FL,26.3439,-82.2876
FL,26.9098,-82.5307
FL,27.3315,-82.8342
FL,27.7565,-83.0182
FL,28.0574,-83.0017
FL,28.6098,-82.8548
FL,28.9697,-83.0264
FL,29.0478,-83.205
FL,29.4157,-83.5318
FL,29.9133,-83.9767
FL,29.893,-84.1072
FL,29.694,-84.4409
FL,29.4551,-85.0465
FL,29.4946,-85.361
FL,29.7262,-85.5807
FL,30.1594,-86.1946
FL,30.2175,-86.851
FL,30.1499,-87.5171
FL,30.3006,-87.4429
FL,30.4256,-87.375
FL,30.483,-87.3743
FL,30.5658,-87.3907
FL,30.6344,-87.4004
FL,30.6763,-87.4141
FL,30.7702,-87.5253
FL,30.8527,-87.6256
FL,30.947,-87.5912
FL,30.9682,-87.5912
FL,30.9964,-87.605
GA,34.9974,-85.6082
GA,34.9906,-84.7266
GA,34.9895,-84.158
GA,34.9996,-83.1088
GA,34.9287,-83.1418
GA,34.8318,-83.3025
GA,34.7281,-83.356
GA,34.6569,-83.308
GA,34.5744,-83.1528
GA,34.4839,-83.0072
GA,34.4681,-82.8918
GA,34.4443,-82.8589
GA,34.2674,-82.749
GA,34.1254,-82.6831
GA,34.014,-82.5952
GA,33.8647,-82.3988
GA,33.7563,-82.2505
GA,33.6695,-82.2217
GA,33.5963,-82.1558
GA,33.5036,-82.0432
GA,33.3707,-81.9484
GA,33.2077,-81.8303
GA,33.1674,-81.7795
GA,33.1456,-81.7424
GA,33.0881,-81.6078
GA,33.0075,-81.5034
GA,32.9418,-81.5089
GA,32.6914,-81.4142
GA,32.5815,-81.4087
GA,32.5283,-81.2769
GA,32.4576,-81.1945
GA,32.3185,-81.1642
GA,32.2151,-81.1436
GA,32.1128,-81.1134
GA,32.0477,-80.9225
GA,32.05,-80.696
GA,31.8881,-80.7289
GA,31.4697,-80.9665
GA,30.9988,-81.1011
GA,30.7041,-81.2288
GA,30.7241,-81.6023
GA,30.7713,-81.7657
GA,30.8221,-81.9498
GA,30.756,-82.0239
GA,30.6379,-82.0459
GA,30.4866,-82.0239
GA,30.4309,-82.0363
GA,30.3575,-82.061
GA,30.3598,-82.1585
GA,30.3859,-82.2025
GA,30.4842,-82.2148
GA,30.5682,-82.2162
GA,30.6131,-82.9688
GA,30.7041,-84.8639
GA,30.7831,-84.9257
GA,30.9117,-84.9586
GA,30.9741,-84.9985
GA,31.1282,-85.063
GA,31.2116,-85.107
GA,31.5247,-85.0493
GA,31.8006,-85.1358
GA,31.9592,-85.0919
GA,32.157,-85.0342
GA,32.25,-84.9023
GA,32.3974,-84.9628
GA,32.5468,-85.0342
GA,32.6949,-85.1001
GA,32.8138,-85.166
GA,32.9833,-85.2072
GA,33.6512,-85.3418
GA,34.562,-85.5231
GA,34.9929,-85.6068
HI,19.5158,-154.6284
HI,19.8894,-154.8235
HI,20.1849,-155.0391
HI,20.391,-155.5952
HI,20.8614,-155.793
HI,21.0948,-156.1858
HI,21.3597,-156.6595
HI,21.4748,-157.1182
HI,21.5515,-157.5247
HI,21.8832,-157.8186
HI,22.3386,-159.218
HI,22.3374,-159.7508
HI,22.1493,-160.1422
HI,21.8857,-160.3922
HI,21.6025,-160.3249
HI,21.7276,-159.9939
HI,21.6932,-159.4295
HI,21.1037,-158.1784
HI,20.8152,-157.4629
HI,20.6803,-157.2171
HI,20.3408,-156.8285
HI,20.2931,-156.5456
HI,20.1643,-156.1418
HI,19.9308,-156.2393
HI,19.2826,-156.1432
HI,18.9881,-156.1212
HI,18.71,-155.712
HI,18.8829,-155.3673
HI,19.2048,-154.8839
HI,19.5158,-154.6271
IA,40.5848,-95.7623
IA,40.5785,-93.5445
IA,40.6129,-91.7372
IA,40.5545,-91.6768
IA,40.5451,-91.6246
IA,40.3622,-91.4365
IA,40.4637,-91.3623
IA,40.5482,-91.4021
IA,40.6931,-91.1124
IA,40.8107,-91.1028
IA,40.9218,-90.9668
IA,41.1642,-91.0121
IA,41.2406,-91.1082
IA,41.4067,-91.0451
IA,41.451,-90.7086
IA,41.5178,-90.4793
IA,41.5908,-90.3419
IA,41.7457,-90.2788
IA,41.8164,-90.2074
IA,41.9023,-90.1538
IA,42.0962,-90.1744
IA,42.1441,-90.2692
IA,42.2905,-90.4298
IA,42.4093,-90.537
IA,42.5217,-90.64
IA,42.636,-90.7127
IA,42.6956,-90.7883
IA,42.7712,-91.0533
IA,42.8448,-91.0904
IA,42.9082,-91.1398
IA,43.0609,-91.1549
IA,43.1391,-91.1522
IA,43.2882,-91.0547
IA,43.3322,-91.2057
IA,43.414,-91.2236
IA,43.5008,-91.2305
IA,43.4998,-96.5973
IA,43.4818,-96.611
IA,43.3871,-96.5245
IA,43.2232,-96.5533
IA,43.1301,-96.4421
IA,42.9243,-96.5479
IA,42.7188,-96.6357
IA,42.6158,-96.5561
IA,42.5055,-96.4847
IA,42.4599,-96.3995
IA,42.3667,-96.405
IA,42.2722,-96.3446
IA,42.2051,-96.3625
IA,41.9983,-96.2416
IA,41.9513,-96.1372
IA,41.7662,-96.0741
IA,41.6267,-96.0988
IA,41.4561,-95.9477
IA,41.2819,-95.8804
IA,41.0338,-95.8653
IA,40.8346,-95.8365
IA,40.6775,-95.8461
IA,40.5837,-95.761
ID,49.0,-117.0319
ID,49.0018,-116.0486
ID,47.9752,-116.0445
ID,47.5765,-115.6915
ID,47.5487,-115.7574
ID,47.4239,-115.7595
ID,47.3109,-115.535
ID,47.2606,-115.3235
ID,47.1888,-115.2878
ID,47.1542,-115.2493
ID,46.9728,-115.0433
ID,46.8677,-114.9472
ID,46.7201,-114.7865
ID,46.6984,-114.7549
ID,46.6325,-114.5874
ID,46.6325,-114.4638
ID,46.6466,-114.3279
ID,46.5135,-114.343
ID,46.453,-114.3896
ID,46.3488,-114.4144
ID,46.2682,-114.4611
ID,46.1227,-114.5105
ID,45.8585,-114.4418
ID,45.7742,-114.5654
ID,45.6745,-114.5229
ID,45.5621,-114.5654
ID,45.5439,-114.4666
ID,45.4601,-114.3375
ID,45.5468,-114.2441
ID,45.5631,-114.1342
ID,45.6889,-113.9708
ID,45.6102,-113.8403
ID,45.4409,-113.7978
ID,45.272,-113.7085
ID,45.026,-113.4256
ID,44.9405,-113.4998
ID,44.7887,-113.3459
ID,44.8062,-113.2471
ID,44.735,-113.118
ID,44.4887,-113.0246
